Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1556665899,2019-04-30T23:11:39Z,BKP203,"13.692165,100.759529",0,15,169
1556665916,2019-04-30T23:11:56Z,BKP203,"13.69202,100.759804",0,2,104
1556665977,2019-04-30T23:12:57Z,BKP203,"13.69202,100.759804",0,0,180
1556666001,2019-04-30T23:13:21Z,BKP203,"13.69186,100.760376",0,22,118
1556666026,2019-04-30T23:13:46Z,BKP203,"13.691106,100.760818",0,16,129
1556666094,2019-04-30T23:14:54Z,BKP203,"13.676116,100.757057",475,126,192
1556666104,2019-04-30T23:15:04Z,BKP203,"13.670484,100.755806",850,123,192
1556666114,2019-04-30T23:15:14Z,BKP203,"13.664566,100.754715",1200,123,187
1556666122,2019-04-30T23:15:22Z,BKP203,"13.660242,100.75547",1450,126,155
1556666131,2019-04-30T23:15:31Z,BKP203,"13.656518,100.758698",1550,138,126
1556666139,2019-04-30T23:15:39Z,BKP203,"13.654377,100.764381",1625,150,105
1556666146,2019-04-30T23:15:46Z,BKP203,"13.653166,100.769302",1700,161,103
1556666156,2019-04-30T23:15:56Z,BKP203,"13.651397,100.777298",1875,169,102
1556666167,2019-04-30T23:16:07Z,BKP203,"13.64946,100.786301",2025,180,102
1556666176,2019-04-30T23:16:16Z,BKP203,"13.647675,100.794395",2275,178,102
1556666182,2019-04-30T23:16:22Z,BKP203,"13.646576,100.799324",2425,178,103
1556666193,2019-04-30T23:16:33Z,BKP203,"13.644562,100.807846",2625,183,103
1556666206,2019-04-30T23:16:46Z,BKP203,"13.642087,100.818207",2900,184,103
1556666216,2019-04-30T23:16:56Z,BKP203,"13.640038,100.827271",3150,185,103
1556666235,2019-04-30T23:17:15Z,BKP203,"13.636093,100.844833",3550,191,102
1556666242,2019-04-30T23:17:22Z,BKP203,"13.63472,100.850845",3700,191,102
1556666257,2019-04-30T23:17:37Z,BKP203,"13.631882,100.863487",4050,190,102
1556666264,2019-04-30T23:17:44Z,BKP203,"13.630403,100.870247",4200,192,102
1556666282,2019-04-30T23:18:02Z,BKP203,"13.626864,100.886436",4600,193,102
1556666292,2019-04-30T23:18:12Z,BKP203,"13.624924,100.895691",4825,193,99
1556666307,2019-04-30T23:18:27Z,BKP203,"13.626846,100.908241",5125,194,63
1556666314,2019-04-30T23:18:34Z,BKP203,"13.631426,100.914726",5250,196,51
1556666362,2019-04-30T23:19:22Z,BKP203,"13.659302,100.947968",6175,199,49
1556666374,2019-04-30T23:19:34Z,BKP203,"13.666899,100.957275",6400,200,50
1556666391,2019-04-30T23:19:51Z,BKP203,"13.677187,100.969849",6750,200,50
1556666407,2019-04-30T23:20:07Z,BKP203,"13.686493,100.981163",7075,200,50
1556666417,2019-04-30T23:20:17Z,BKP203,"13.692627,100.988602",7250,201,49
1556666432,2019-04-30T23:20:32Z,BKP203,"13.701767,100.99958",7575,200,49
1556666448,2019-04-30T23:20:48Z,BKP203,"13.711217,101.011192",7850,201,50
1556666463,2019-04-30T23:21:03Z,BKP203,"13.720108,101.022133",8100,203,50
1556666473,2019-04-30T23:21:13Z,BKP203,"13.726625,101.029648",8300,202,42
1556666483,2019-04-30T23:21:23Z,BKP203,"13.734329,101.035439",8475,200,32
1556666492,2019-04-30T23:21:32Z,BKP203,"13.74234,101.040504",8675,201,31
1556666508,2019-04-30T23:21:48Z,BKP203,"13.754603,101.048195",8950,200,31
1556666523,2019-04-30T23:22:03Z,BKP203,"13.7668,101.055664",9225,199,30
1556666533,2019-04-30T23:22:13Z,BKP203,"13.775086,101.060631",9425,199,30
1556666548,2019-04-30T23:22:28Z,BKP203,"13.787018,101.06768",9700,198,29
1556666564,2019-04-30T23:22:44Z,BKP203,"13.799247,101.07489",9950,198,29
1556666574,2019-04-30T23:22:54Z,BKP203,"13.807617,101.079193",10100,198,19
1556666585,2019-04-30T23:23:05Z,BKP203,"13.816936,101.080727",10275,199,2
1556666595,2019-04-30T23:23:15Z,BKP203,"13.826247,101.080818",10425,201,359
1556666609,2019-04-30T23:23:29Z,BKP203,"13.840772,101.080528",10675,200,359
1556666625,2019-04-30T23:23:45Z,BKP203,"13.854598,101.080338",10925,200,359
1556666641,2019-04-30T23:24:01Z,BKP203,"13.869095,101.080276",11150,202,359
1556666665,2019-04-30T23:24:25Z,BKP203,"13.892487,101.080376",11525,205,359
1556666686,2019-04-30T23:24:46Z,BKP203,"13.911159,101.080528",11775,208,359
1556666709,2019-04-30T23:25:09Z,BKP203,"13.934601,101.080757",12150,208,359
1556666741,2019-04-30T23:25:41Z,BKP203,"13.963715,101.07843",12650,205,345
1556666749,2019-04-30T23:25:49Z,BKP203,"13.972002,101.075951",12775,206,342
1556666757,2019-04-30T23:25:57Z,BKP203,"13.98024,101.073318",12900,206,342
1556666791,2019-04-30T23:26:31Z,BKP203,"14.011093,101.064133",13350,209,344
