Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1556614890,2019-04-30T09:01:30Z,BKP213,"13.69202,100.759804",0,29,104
1556614900,2019-04-30T09:01:40Z,BKP213,"13.691839,100.760384",0,33,118
1556614930,2019-04-30T09:02:10Z,BKP213,"13.691083,100.760864",0,0,148
1556614994,2019-04-30T09:03:14Z,BKP213,"13.674133,100.756371",725,109,194
1556615004,2019-04-30T09:03:24Z,BKP213,"13.669189,100.755333",975,110,182
1556615014,2019-04-30T09:03:34Z,BKP213,"13.663919,100.75663",1275,110,155
1556615024,2019-04-30T09:03:44Z,BKP213,"13.659897,100.760208",1500,119,127
1556615030,2019-04-30T09:03:50Z,BKP213,"13.658334,100.762695",1550,127,118
1556615039,2019-04-30T09:03:59Z,BKP213,"13.656518,100.769012",1575,145,101
1556615046,2019-04-30T09:04:06Z,BKP213,"13.655773,100.773056",1625,154,99
1556615056,2019-04-30T09:04:16Z,BKP213,"13.654541,100.78109",1850,153,98
1556615072,2019-04-30T09:04:32Z,BKP213,"13.6527,100.792381",2200,154,98
1556615082,2019-04-30T09:04:42Z,BKP213,"13.65149,100.799995",2425,156,99
1556615092,2019-04-30T09:04:52Z,BKP213,"13.650284,100.80761",2625,157,98
1556615108,2019-04-30T09:05:08Z,BKP213,"13.648464,100.818886",2925,159,99
1556615116,2019-04-30T09:05:16Z,BKP213,"13.64744,100.825096",3075,159,99
1556615124,2019-04-30T09:05:24Z,BKP213,"13.646347,100.831192",3250,159,100
1556615136,2019-04-30T09:05:36Z,BKP213,"13.644516,100.840714",3525,159,101
1556615146,2019-04-30T09:05:46Z,BKP213,"13.643064,100.848038",3700,160,101
1556615158,2019-04-30T09:05:58Z,BKP213,"13.64122,100.857193",3900,161,101
1556615168,2019-04-30T09:06:08Z,BKP213,"13.639709,100.864624",4075,162,101
1556615176,2019-04-30T09:06:16Z,BKP213,"13.638363,100.871071",4200,162,101
1556615190,2019-04-30T09:06:30Z,BKP213,"13.636128,100.881668",4300,176,102
1556615198,2019-04-30T09:06:38Z,BKP213,"13.634766,100.888206",4375,182,102
1556615252,2019-04-30T09:07:32Z,BKP213,"13.640717,100.938072",4800,212,78
1556615261,2019-04-30T09:07:41Z,BKP213,"13.642731,100.948395",4875,215,78
1556615272,2019-04-30T09:07:52Z,BKP213,"13.64488,100.959152",4975,218,78
1556615283,2019-04-30T09:08:03Z,BKP213,"13.646896,100.96994",5125,216,79
1556615293,2019-04-30T09:08:13Z,BKP213,"13.648744,100.979774",5325,213,79
1556615307,2019-04-30T09:08:27Z,BKP213,"13.651611,100.995041",5625,208,79
1556615323,2019-04-30T09:08:43Z,BKP213,"13.654098,101.008781",5900,204,79
1556615338,2019-04-30T09:08:58Z,BKP213,"13.656876,101.024025",6250,198,79
1556615354,2019-04-30T09:09:14Z,BKP213,"13.659348,101.037659",6550,195,79
1556615363,2019-04-30T09:09:23Z,BKP213,"13.661313,101.046852",6725,193,71
1556615369,2019-04-30T09:09:29Z,BKP213,"13.663422,101.051064",6825,192,56
1556615378,2019-04-30T09:09:38Z,BKP213,"13.669556,101.057411",6975,192,41
1556615389,2019-04-30T09:09:49Z,BKP213,"13.676376,101.063469",7075,195,40
1556615409,2019-04-30T09:10:09Z,BKP213,"13.690842,101.076019",7375,196,40
1556615424,2019-04-30T09:10:24Z,BKP213,"13.701279,101.08506",7600,196,40
1556615439,2019-04-30T09:10:39Z,BKP213,"13.711945,101.094154",7825,198,39
1556615454,2019-04-30T09:10:54Z,BKP213,"13.722839,101.10334",8050,198,39
1556615470,2019-04-30T09:11:10Z,BKP213,"13.733888,101.112282",8250,199,32
1556615479,2019-04-30T09:11:19Z,BKP213,"13.742454,101.115807",8425,198,16
1556615490,2019-04-30T09:11:30Z,BKP213,"13.751531,101.118454",8550,199,14
1556615505,2019-04-30T09:11:45Z,BKP213,"13.765503,101.122284",8750,200,15
1556615520,2019-04-30T09:12:00Z,BKP213,"13.779144,101.126122",8975,199,15
1556615536,2019-04-30T09:12:16Z,BKP213,"13.79259,101.129967",9175,199,15
1556615550,2019-04-30T09:12:30Z,BKP213,"13.806152,101.13398",9350,200,16
1556615566,2019-04-30T09:12:46Z,BKP213,"13.819777,101.138062",9550,201,16
1556615581,2019-04-30T09:13:01Z,BKP213,"13.83337,101.142113",9775,198,16
1556615596,2019-04-30T09:13:16Z,BKP213,"13.846664,101.146103",9975,198,16
1556615612,2019-04-30T09:13:32Z,BKP213,"13.860463,101.150063",10150,199,12
1556615622,2019-04-30T09:13:42Z,BKP213,"13.869507,101.151077",10275,199,2
1556615632,2019-04-30T09:13:52Z,BKP213,"13.879166,101.15136",10425,200,1
1556615646,2019-04-30T09:14:06Z,BKP213,"13.893356,101.151688",10575,201,1
1556615661,2019-04-30T09:14:21Z,BKP213,"13.907528,101.152138",10750,203,1
1556615678,2019-04-30T09:14:38Z,BKP213,"13.922285,101.152519",10900,204,1
1556615693,2019-04-30T09:14:53Z,BKP213,"13.936855,101.152855",11075,204,1
1556615708,2019-04-30T09:15:08Z,BKP213,"13.951194,101.15329",11250,204,1
1556615723,2019-04-30T09:15:23Z,BKP213,"13.965625,101.153824",11425,203,1
1556615739,2019-04-30T09:15:39Z,BKP213,"13.980148,101.154343",11600,203,1
1556615754,2019-04-30T09:15:54Z,BKP213,"13.994441,101.154884",11725,205,1
1556615769,2019-04-30T09:16:09Z,BKP213,"14.009058,101.155411",11875,208,1
1556615779,2019-04-30T09:16:19Z,BKP213,"14.019114,101.155746",12000,207,1
1556615814,2019-04-30T09:16:54Z,BKP213,"14.053253,101.156898",12400,206,2
1556615835,2019-04-30T09:17:15Z,BKP213,"14.072556,101.156662",12600,204,348
1556615844,2019-04-30T09:17:24Z,BKP213,"14.081863,101.154015",12725,203,343
1556615850,2019-04-30T09:17:30Z,BKP213,"14.086624,101.152451",12775,203,342
1556615860,2019-04-30T09:17:40Z,BKP213,"14.095642,101.149422",12875,204,341
1556615895,2019-04-30T09:18:15Z,BKP213,"14.128189,101.138481",13175,208,342
1556615925,2019-04-30T09:18:45Z,BKP213,"14.156116,101.12915",13475,208,342
1556615960,2019-04-30T09:19:20Z,BKP213,"14.188749,101.118454",13825,210,342
1556615991,2019-04-30T09:19:51Z,BKP213,"14.217333,101.109253",14050,212,342
1556616021,2019-04-30T09:20:21Z,BKP213,"14.246242,101.100624",14325,217,352
1556616027,2019-04-30T09:20:27Z,BKP213,"14.252153,101.100334",14375,218,358
1556616048,2019-04-30T09:20:48Z,BKP213,"14.272659,101.101303",14575,219,3
1556616082,2019-04-30T09:21:22Z,BKP213,"14.308823,101.102867",14900,218,2
1556616118,2019-04-30T09:21:58Z,BKP213,"14.345677,101.104576",15175,221,2
1556616154,2019-04-30T09:22:34Z,BKP213,"14.381332,101.106468",15450,222,2
1556616183,2019-04-30T09:23:03Z,BKP213,"14.412506,101.108032",15625,225,2
1556616218,2019-04-30T09:23:38Z,BKP213,"14.449442,101.110023",15925,226,3
1556616254,2019-04-30T09:24:14Z,BKP213,"14.487243,101.111946",16000,233,2
1556616285,2019-04-30T09:24:45Z,BKP213,"14.520574,101.113777",16000,240,2
1556616320,2019-04-30T09:25:20Z,BKP213,"14.560776,101.115799",16000,247,2
1556616350,2019-04-30T09:25:50Z,BKP213,"14.596161,101.117546",16000,250,2
1556616386,2019-04-30T09:26:26Z,BKP213,"14.638138,101.119629",16000,254,2
1556616417,2019-04-30T09:26:57Z,BKP213,"14.674336,101.12149",16000,256,2
1556616452,2019-04-30T09:27:32Z,BKP213,"14.71669,101.123566",16000,258,2
1556616483,2019-04-30T09:28:03Z,BKP213,"14.753723,101.124557",16000,257,353
1556616494,2019-04-30T09:28:14Z,BKP213,"14.76535,101.121719",16000,256,343
1556616503,2019-04-30T09:28:23Z,BKP213,"14.777115,101.117882",16000,255,341
1556616539,2019-04-30T09:28:59Z,BKP213,"14.817307,101.10434",16000,254,342
1556616574,2019-04-30T09:29:34Z,BKP213,"14.856949,101.091179",16000,253,342
1556616605,2019-04-30T09:30:05Z,BKP213,"14.89151,101.079613",16000,253,342
1556616636,2019-04-30T09:30:36Z,BKP213,"14.925904,101.068283",16000,253,342
1556616667,2019-04-30T09:31:07Z,BKP213,"14.960167,101.056953",16000,254,341
1556616701,2019-04-30T09:31:41Z,BKP213,"15.000015,101.043617",16000,252,341
1556616733,2019-04-30T09:32:13Z,BKP213,"15.034973,101.031815",16000,251,342
1556616768,2019-04-30T09:32:48Z,BKP213,"15.074158,101.018707",16000,251,341
1556616804,2019-04-30T09:33:24Z,BKP213,"15.113929,101.005257",16000,250,342
1556616834,2019-04-30T09:33:54Z,BKP213,"15.147447,100.993881",16000,249,341
1556616860,2019-04-30T09:34:20Z,BKP213,"15.174454,100.981796",16000,249,331
1556616870,2019-04-30T09:34:30Z,BKP213,"15.184828,100.975784",16000,249,330
1556616901,2019-04-30T09:35:01Z,BKP213,"15.21579,100.958046",16000,248,331
1556616936,2019-04-30T09:35:36Z,BKP213,"15.251444,100.938118",16000,249,331
1556616966,2019-04-30T09:36:06Z,BKP213,"15.282715,100.920746",16000,251,331
1556617002,2019-04-30T09:36:42Z,BKP213,"15.319783,100.900154",16000,253,331
1556617033,2019-04-30T09:37:13Z,BKP213,"15.351563,100.882439",16000,253,331
1556617063,2019-04-30T09:37:43Z,BKP213,"15.382861,100.86499",16000,252,331
1556617099,2019-04-30T09:38:19Z,BKP213,"15.419917,100.844337",16000,250,331
1556617129,2019-04-30T09:38:49Z,BKP213,"15.45106,100.827026",16000,247,331
1556617164,2019-04-30T09:39:24Z,BKP213,"15.487198,100.806839",16000,249,331
1556617199,2019-04-30T09:39:59Z,BKP213,"15.522766,100.786934",16000,249,331
1556617234,2019-04-30T09:40:34Z,BKP213,"15.558736,100.766899",16000,251,331
1556617270,2019-04-30T09:41:10Z,BKP213,"15.595734,100.746269",16000,251,331
1556617286,2019-04-30T09:41:26Z,BKP213,"15.610641,100.736092",16000,250,318
1556617296,2019-04-30T09:41:36Z,BKP213,"15.619583,100.728004",16000,250,319
1556617335,2019-04-30T09:42:15Z,BKP213,"15.655285,100.697639",16000,252,320
1556617366,2019-04-30T09:42:46Z,BKP213,"15.683441,100.673119",16000,253,320
1556617403,2019-04-30T09:43:23Z,BKP213,"15.715569,100.645607",16000,254,320
1556617437,2019-04-30T09:43:57Z,BKP213,"15.74783,100.618484",16000,252,320
1556617468,2019-04-30T09:44:28Z,BKP213,"15.776276,100.595787",16000,253,329
1556617476,2019-04-30T09:44:36Z,BKP213,"15.785477,100.59082",16000,253,333
1556617483,2019-04-30T09:44:43Z,BKP213,"15.792055,100.587585",16000,252,334
1556617491,2019-04-30T09:44:51Z,BKP213,"15.800993,100.583221",16025,250,334
1556617523,2019-04-30T09:45:23Z,BKP213,"15.834604,100.566246",16025,250,333
1556617560,2019-04-30T09:46:00Z,BKP213,"15.872265,100.546432",16000,250,332
1556617588,2019-04-30T09:46:28Z,BKP213,"15.902069,100.530731",16000,249,333
1556617626,2019-04-30T09:47:06Z,BKP213,"15.940138,100.510628",16000,251,333
1556617652,2019-04-30T09:47:32Z,BKP213,"15.969086,100.495361",16000,251,333
1556617700,2019-04-30T09:48:20Z,BKP213,"16.017834,100.469627",16000,251,333
1556617732,2019-04-30T09:48:52Z,BKP213,"16.051304,100.45192",16000,251,333
1556617787,2019-04-30T09:49:47Z,BKP213,"16.10903,100.421417",16000,249,332
1556617817,2019-04-30T09:50:17Z,BKP213,"16.140173,100.404938",16000,250,332
1556617844,2019-04-30T09:50:44Z,BKP213,"16.166885,100.3908",16000,249,333
1556617904,2019-04-30T09:51:44Z,BKP213,"16.227459,100.35878",16000,250,332
1556618006,2019-04-30T09:53:26Z,BKP213,"16.336159,100.301155",16000,246,333
1556618039,2019-04-30T09:53:59Z,BKP213,"16.367115,100.284775",16000,248,332
1556618072,2019-04-30T09:54:32Z,BKP213,"16.400494,100.267067",16000,248,332
1556618104,2019-04-30T09:55:04Z,BKP213,"16.433079,100.249802",16000,248,332
1556618129,2019-04-30T09:55:29Z,BKP213,"16.461136,100.234871",15975,249,332
1556618167,2019-04-30T09:56:07Z,BKP213,"16.500732,100.213867",15575,262,332
1556618202,2019-04-30T09:56:42Z,BKP213,"16.541245,100.190155",15125,274,324
1556618238,2019-04-30T09:57:18Z,BKP213,"16.575483,100.164024",14550,284,323
1556618271,2019-04-30T09:57:51Z,BKP213,"16.61348,100.135223",13650,289,323
1556618303,2019-04-30T09:58:23Z,BKP213,"16.647125,100.109642",12875,285,324
1556618335,2019-04-30T09:58:55Z,BKP213,"16.68218,100.083046",12100,278,324
1556618368,2019-04-30T09:59:28Z,BKP213,"16.714535,100.058426",11375,278,323
1556618380,2019-04-30T09:59:40Z,BKP213,"16.727476,100.048615",11075,275,323
1556618392,2019-04-30T09:59:52Z,BKP213,"16.740875,100.038368",10775,274,323
1556618404,2019-04-30T10:00:04Z,BKP213,"16.752848,100.029289",10500,274,323
1556618417,2019-04-30T10:00:17Z,BKP213,"16.765324,100.019875",10225,271,323
1556618429,2019-04-30T10:00:29Z,BKP213,"16.778172,100.010017",9925,272,323
1556618440,2019-04-30T10:00:40Z,BKP213,"16.790182,100.000946",9650,260,324
1556618455,2019-04-30T10:00:55Z,BKP213,"16.802628,99.991585",9375,247,323
1556618470,2019-04-30T10:01:10Z,BKP213,"16.815599,99.981567",9100,233,323
1556618495,2019-04-30T10:01:35Z,BKP213,"16.836687,99.965485",8625,212,323
1556618506,2019-04-30T10:01:46Z,BKP213,"16.846371,99.958076",8400,202,323
1556618517,2019-04-30T10:01:57Z,BKP213,"16.855263,99.951355",8200,194,323
1556618530,2019-04-30T10:02:10Z,BKP213,"16.864014,99.944641",8025,193,323
1556618542,2019-04-30T10:02:22Z,BKP213,"16.872673,99.937965",7825,193,323
1556618557,2019-04-30T10:02:37Z,BKP213,"16.884064,99.929283",7550,191,323
1556618571,2019-04-30T10:02:51Z,BKP213,"16.893015,99.92247",7350,193,323
1556618582,2019-04-30T10:03:02Z,BKP213,"16.901779,99.915833",7175,191,323
1556618593,2019-04-30T10:03:13Z,BKP213,"16.910477,99.909187",6950,195,323
1556618607,2019-04-30T10:03:27Z,BKP213,"16.919365,99.902412",6750,198,323
1556618619,2019-04-30T10:03:39Z,BKP213,"16.928349,99.895546",6575,197,323
1556618631,2019-04-30T10:03:51Z,BKP213,"16.937714,99.88842",6350,196,323
1556618643,2019-04-30T10:04:03Z,BKP213,"16.946318,99.881905",6150,189,324
1556618653,2019-04-30T10:04:13Z,BKP213,"16.954056,99.875938",5975,190,322
1556618666,2019-04-30T10:04:26Z,BKP213,"16.963806,99.868423",5775,195,324
1556618679,2019-04-30T10:04:39Z,BKP213,"16.97287,99.861671",5575,195,323
1556618692,2019-04-30T10:04:52Z,BKP213,"16.981659,99.854836",5350,195,322
1556618702,2019-04-30T10:05:02Z,BKP213,"16.989937,99.848557",5150,192,324
1556618716,2019-04-30T10:05:16Z,BKP213,"16.999714,99.841103",4900,197,323
1556618727,2019-04-30T10:05:27Z,BKP213,"17.008698,99.834183",4675,196,323
1556618734,2019-04-30T10:05:34Z,BKP213,"17.013214,99.83075",4550,196,323
1556618741,2019-04-30T10:05:41Z,BKP213,"17.017868,99.827171",4425,196,323
1556618753,2019-04-30T10:05:53Z,BKP213,"17.027756,99.819801",4175,203,325
1556618760,2019-04-30T10:06:00Z,BKP213,"17.032883,99.817101",4050,206,338
1556618766,2019-04-30T10:06:06Z,BKP213,"17.03891,99.815399",3925,205,348
1556618772,2019-04-30T10:06:12Z,BKP213,"17.044451,99.814568",3825,202,354
1556618782,2019-04-30T10:06:22Z,BKP213,"17.05275,99.814117",3650,201,358
1556618792,2019-04-30T10:06:32Z,BKP213,"17.063553,99.814117",3450,198,358
1556618813,2019-04-30T10:06:53Z,BKP213,"17.082903,99.814667",3100,195,2
1556618821,2019-04-30T10:07:01Z,BKP213,"17.09091,99.81501",2950,196,2
1556618828,2019-04-30T10:07:08Z,BKP213,"17.096029,99.8153",2850,196,2
1556618838,2019-04-30T10:07:18Z,BKP213,"17.105202,99.815742",2725,189,2
1556618848,2019-04-30T10:07:28Z,BKP213,"17.115921,99.816139",2500,184,1
1556618859,2019-04-30T10:07:39Z,BKP213,"17.123978,99.81633",2375,177,1
1556618877,2019-04-30T10:07:57Z,BKP213,"17.137711,99.816475",2100,157,1
1556618883,2019-04-30T10:08:03Z,BKP213,"17.141838,99.816528",2050,150,1
1556618889,2019-04-30T10:08:09Z,BKP213,"17.145981,99.816528",1950,147,359
1556618913,2019-04-30T10:08:33Z,BKP213,"17.161808,99.816772",1675,135,359
1556618938,2019-04-30T10:08:58Z,BKP213,"17.176704,99.81707",1400,133,1
1556618945,2019-04-30T10:09:05Z,BKP213,"17.182022,99.817299",1300,133,1
1556618952,2019-04-30T10:09:12Z,BKP213,"17.18611,99.81736",1250,132,1
1556618958,2019-04-30T10:09:18Z,BKP213,"17.189787,99.817459",1175,132,2
1556618964,2019-04-30T10:09:24Z,BKP213,"17.193649,99.81749",1100,132,2
1556618974,2019-04-30T10:09:34Z,BKP213,"17.19873,99.81768",1025,129,1
1556618980,2019-04-30T10:09:40Z,BKP213,"17.201843,99.81768",950,129,1
1556684510,2019-05-01T04:21:50Z,BKP305,"13.699837,100.757286",0,0,0
1556685243,2019-05-01T04:34:03Z,BKP305,"13.699707,100.757797",0,10,103
1556685603,2019-05-01T04:40:03Z,BKP305,"13.690796,100.76078",0,31,191
1556685648,2019-05-01T04:40:48Z,BKP305,"13.6745,100.75647",300,31,191
1556685660,2019-05-01T04:41:00Z,BKP305,"13.66811,100.75528",700,121,188
1556685669,2019-05-01T04:41:09Z,BKP305,"13.662756,100.755661",1000,120,165
1556685680,2019-05-01T04:41:20Z,BKP305,"13.657263,100.758606",1175,131,144
1556685741,2019-05-01T04:42:21Z,BKP305,"13.644368,100.805489",1625,186,102
1556685754,2019-05-01T04:42:34Z,BKP305,"13.641761,100.816856",1875,187,102
1556685774,2019-05-01T04:42:54Z,BKP305,"13.637695,100.834221",2350,184,103
1556685784,2019-05-01T04:43:04Z,BKP305,"13.635896,100.842445",2500,187,102
1556685793,2019-05-01T04:43:13Z,BKP305,"13.634079,100.850655",2625,188,102
1556685805,2019-05-01T04:43:25Z,BKP305,"13.632078,100.85984",2825,187,102
1556685814,2019-05-01T04:43:34Z,BKP305,"13.630005,100.868889",3025,187,103
1556685825,2019-05-01T04:43:45Z,BKP305,"13.628028,100.877625",3200,187,102
1556685834,2019-05-01T04:43:54Z,BKP305,"13.625933,100.886726",3375,189,103
1556685844,2019-05-01T04:44:04Z,BKP305,"13.623838,100.895645",3525,192,103
1556685855,2019-05-01T04:44:15Z,BKP305,"13.621743,100.904892",3775,188,102
1556685865,2019-05-01T04:44:25Z,BKP305,"13.619751,100.913498",3975,190,103
1556685876,2019-05-01T04:44:36Z,BKP305,"13.617554,100.922722",4175,191,103
1556685885,2019-05-01T04:44:45Z,BKP305,"13.615356,100.931541",4275,194,104
1556685895,2019-05-01T04:44:55Z,BKP305,"13.613178,100.940361",4475,192,104
1556685905,2019-05-01T04:45:05Z,BKP305,"13.611083,100.949417",4700,190,103
1556685916,2019-05-01T04:45:16Z,BKP305,"13.609039,100.958389",4900,188,103
1556685926,2019-05-01T04:45:26Z,BKP305,"13.607071,100.967148",5075,188,102
1556685941,2019-05-01T04:45:41Z,BKP305,"13.604187,100.980217",5325,189,102
1556685956,2019-05-01T04:45:56Z,BKP305,"13.601303,100.993576",5575,189,102
1556685971,2019-05-01T04:46:11Z,BKP305,"13.598236,101.007401",5775,191,102
1556685986,2019-05-01T04:46:26Z,BKP305,"13.595255,101.020393",6000,193,103
1556686002,2019-05-01T04:46:42Z,BKP305,"13.59209,101.034462",6200,194,102
1556686016,2019-05-01T04:46:56Z,BKP305,"13.589204,101.047668",6400,195,102
1556686031,2019-05-01T04:47:11Z,BKP305,"13.586178,101.061501",6625,194,102
1556686046,2019-05-01T04:47:26Z,BKP305,"13.583084,101.075356",6875,194,102
1556686062,2019-05-01T04:47:42Z,BKP305,"13.580109,101.088661",7100,193,102
1556686077,2019-05-01T04:47:57Z,BKP305,"13.57695,101.102821",7325,193,102
1556686086,2019-05-01T04:48:06Z,BKP305,"13.57402,101.111015",7450,193,119
1556686092,2019-05-01T04:48:12Z,BKP305,"13.571548,101.11409",7500,191,133
1556686101,2019-05-01T04:48:21Z,BKP305,"13.564391,101.119995",7650,192,142
1556686113,2019-05-01T04:48:33Z,BKP305,"13.556351,101.126022",7750,194,144
1556686121,2019-05-01T04:48:41Z,BKP305,"13.549495,101.131027",7850,195,144
1556686137,2019-05-01T04:48:57Z,BKP305,"13.537717,101.139465",8025,198,145
1556686148,2019-05-01T04:49:08Z,BKP305,"13.530258,101.144775",8150,198,145
1556686163,2019-05-01T04:49:23Z,BKP305,"13.518356,101.153305",8325,200,144
1556686178,2019-05-01T04:49:38Z,BKP305,"13.506899,101.161484",8550,200,144
1556686193,2019-05-01T04:49:53Z,BKP305,"13.495102,101.169922",8775,198,145
1556686208,2019-05-01T04:50:08Z,BKP305,"13.48339,101.178253",8950,199,145
1556686222,2019-05-01T04:50:22Z,BKP305,"13.472264,101.186203",9125,201,145
1556686238,2019-05-01T04:50:38Z,BKP305,"13.460266,101.19474",9325,201,145
1556686252,2019-05-01T04:50:52Z,BKP305,"13.449407,101.202492",9500,199,145
1556686269,2019-05-01T04:51:09Z,BKP305,"13.43721,101.211212",9700,198,145
1556686288,2019-05-01T04:51:28Z,BKP305,"13.422453,101.221718",9925,199,145
1556686308,2019-05-01T04:51:48Z,BKP305,"13.407166,101.23262",10175,198,145
1556686324,2019-05-01T04:52:04Z,BKP305,"13.394943,101.241333",10375,198,145
1556686339,2019-05-01T04:52:19Z,BKP305,"13.383489,101.249519",10525,200,144
1556686353,2019-05-01T04:52:33Z,BKP305,"13.37265,101.257248",10650,201,145
1556686370,2019-05-01T04:52:50Z,BKP305,"13.360245,101.266098",10825,202,145
1556686384,2019-05-01T04:53:04Z,BKP305,"13.348663,101.274391",10975,203,145
1556686394,2019-05-01T04:53:14Z,BKP305,"13.341173,101.279732",11075,203,144
1556686405,2019-05-01T04:53:25Z,BKP305,"13.333352,101.285316",11175,204,145
1556686420,2019-05-01T04:53:40Z,BKP305,"13.321289,101.2939",11350,205,144
1556686435,2019-05-01T04:53:55Z,BKP305,"13.309192,101.302521",11500,206,145
1556686449,2019-05-01T04:54:09Z,BKP305,"13.297693,101.310715",11675,204,145
1556686465,2019-05-01T04:54:25Z,BKP305,"13.285171,101.319626",11850,205,145
1556686480,2019-05-01T04:54:40Z,BKP305,"13.273499,101.32795",12000,206,145
1556686511,2019-05-01T04:55:11Z,BKP305,"13.249283,101.345184",12300,206,145
1556686546,2019-05-01T04:55:46Z,BKP305,"13.22144,101.365021",12625,208,145
1556686576,2019-05-01T04:56:16Z,BKP305,"13.197001,101.382362",12925,208,145
1556686612,2019-05-01T04:56:52Z,BKP305,"13.168625,101.402527",13225,209,145
1556686647,2019-05-01T04:57:27Z,BKP305,"13.140701,101.422417",13525,210,145
1556686678,2019-05-01T04:57:58Z,BKP305,"13.116047,101.439949",13775,211,145
1556686713,2019-05-01T04:58:33Z,BKP305,"13.08728,101.46035",14025,214,145
1556686749,2019-05-01T04:59:09Z,BKP305,"13.058167,101.481041",14350,213,145
1556686778,2019-05-01T04:59:38Z,BKP305,"13.033585,101.49852",14525,216,145
1556686813,2019-05-01T05:00:13Z,BKP305,"13.004321,101.51931",14775,220,145
